429 1 2.97188394 . 3.0382817348 1995
429 1 2.99471612 3.03210724 . 1996
429 1 3.01567096 . 3.3311828898 1997
429 2 1.86687212 . 1.6180262637 1979
429 2 2.05015515 . 2.2431726742 1980
429 2 2.22373768 . 2.5079697226 1981
429 2 2.34687941 . 2.4034608057 1982
429 2 2.45866005 . 2.1877364515 1983
429 2 2.60148972 2.21795864 . 1984
429 2 2.71940986 2.82294553 . 1985
429 2 2.79305955 2.32299206 . 1986
429 2 2.85927252 2.8161937 . 1987
429 2 2.92151786 2.84045075 . 1988
429 2 2.97081652 3.25516071 . 1989
429 2 3.00185663 . 3.2950828512 1990
429 2 3.02289582 . 3.3171113502 1991
429 2 3.00476013 3.06833031 . 1992
429 2 2.97360394 2.66635284 . 1993
429 2 2.93025783 . 2.2386736792 1994
429 2 2.96671565 . 3.0382817348 1995
429 2 2.98932359 3.61539662 . 1996
429 2 3.00968946 . 3.3311828898 1997
429 5 1.86445824 . 1.6180262637 1979
429 5 2.0497201 . 2.2431726742 1980
429 5 2.22443136 . 2.5079697226 1981
429 5 2.34812602 . 2.4034608057 1982
429 5 2.46016268 . 2.1877364515 1983
429 5 2.60411885 2.8851347 . 1984
429 5 2.72194559 2.7473783 . 1985
429 5 2.79669933 2.70105343 . 1986
429 5 2.86436484 3.18006031 . 1987
429 5 2.92615752 3.4192599 . 1988
429 5 2.97487069 3.12569379 . 1989
429 5 3.00606611 . 3.2950828512 1990
429 5 3.02863408 . 3.3171113502 1991
429 5 3.00912706 3.13884019 . 1992
429 5 2.97758625 2.44982251 . 1993
429 5 2.93205454 . 2.2386736792 1994
429 5 2.96698398 . 3.0382817348 1995
429 5 2.98929726 2.71303348 . 1996
429 5 3.01037179 . 3.3311828898 1997
